event_id,affected_ticker,expected_direction,driver_tag,thesis_tag,impact_confidence
googl_earnings_2026_04_29,GOOGL,mixed,search_cloud_capex,cloud_ai_capex,0.80
googl_earnings_2026_02_04,GOOGL,mixed,search_cloud_fcf,search_cloud_fcf,0.80
googl_earnings_2025_10_29,GOOGL,mixed,cloud_margin_capex,cloud_margin_capex,0.80
googl_earnings_2025_07_23,GOOGL,mixed,search_cloud_growth,search_cloud_growth,0.75
googl_earnings_2025_04_24,GOOGL,mixed,ai_infrastructure_capex,ai_infrastructure_capex,0.75
nvda_earnings_2026_02_25,NVDA,positive,ai_accelerator_demand,ai_accelerator_demand,0.90
nvda_earnings_2025_11_19,NVDA,positive,ai_platform_demand,ai_platform_demand,0.90
nvda_earnings_2025_08_27,NVDA,positive,hyperscaler_gpu_demand,hyperscaler_gpu_demand,0.90
nvda_earnings_2025_05_28,NVDA,mixed,guidance_data_center,guidance_data_center,0.90
nvda_earnings_2025_02_26,NVDA,positive,data_center_margin,data_center_margin,0.90
amd_earnings_2026_05_05,AMD,positive,mi_accelerator_traction,mi_accelerator_traction,0.85
amd_earnings_2026_02_03,AMD,positive,data_center_margin,data_center_margin,0.85
amd_earnings_2025_11_04,AMD,positive,second_source_epyc,second_source_epyc,0.85
amd_earnings_2025_08_05,AMD,mixed,mi_client_cycle,mi_client_cycle,0.80
amd_earnings_2025_05_06,AMD,mixed,data_center_client,data_center_client,0.80
tsm_earnings_2026_04_15,TSM,positive,hpc_advanced_node,hpc_advanced_node,0.85
tsm_earnings_2026_01_15,TSM,positive,hpc_margin,hpc_margin,0.85
tsm_earnings_2025_10_15,TSM,positive,advanced_node_demand,advanced_node_demand,0.85
tsm_earnings_2025_07_17,TSM,mixed,hpc_smartphone_mix,hpc_smartphone_mix,0.80
tsm_earnings_2025_04_17,TSM,mixed,advanced_manufacturing_capex,advanced_manufacturing_capex,0.80
tsmc_monthly_revenue_2026_04,TSM,mixed,monthly_revenue_yoy,monthly_revenue_ai_supply_chain,0.80
tsmc_monthly_revenue_2026_04,NVDA,mixed,advanced_node_readthrough,ai_accelerator_demand,0.65
tsmc_monthly_revenue_2026_04,AMD,mixed,advanced_node_readthrough,mi_accelerator_traction,0.60
tsmc_monthly_revenue_2026_03,TSM,positive,monthly_revenue_yoy,monthly_revenue_ai_supply_chain,0.80
tsmc_monthly_revenue_2026_03,NVDA,positive,advanced_node_readthrough,ai_accelerator_demand,0.65
tsmc_monthly_revenue_2026_03,AMD,positive,advanced_node_readthrough,mi_accelerator_traction,0.60
tsmc_monthly_revenue_2026_02,TSM,mixed,monthly_revenue_yoy,monthly_revenue_ai_supply_chain,0.75
tsmc_monthly_revenue_2026_02,NVDA,mixed,advanced_node_readthrough,ai_accelerator_demand,0.60
tsmc_monthly_revenue_2026_02,AMD,mixed,advanced_node_readthrough,mi_accelerator_traction,0.55
tsmc_monthly_revenue_2026_01,TSM,positive,monthly_revenue_yoy,monthly_revenue_ai_supply_chain,0.80
tsmc_monthly_revenue_2026_01,NVDA,positive,advanced_node_readthrough,ai_accelerator_demand,0.65
tsmc_monthly_revenue_2026_01,AMD,positive,advanced_node_readthrough,mi_accelerator_traction,0.60
tsmc_monthly_revenue_2025_12,TSM,mixed,monthly_revenue_yoy,monthly_revenue_ai_supply_chain,0.75
tsmc_monthly_revenue_2025_12,NVDA,mixed,advanced_node_readthrough,ai_accelerator_demand,0.60
tsmc_monthly_revenue_2025_12,AMD,mixed,advanced_node_readthrough,mi_accelerator_traction,0.55
