event_id,event_date,reaction_date,primary_ticker,ticker,event_type,event_name,event_description,source,source_url,after_market,importance_score,thesis_tag,expected_value,actual_value,surprise_pct,metadata_json,created_at
googl_earnings_2026_04_29,2026-04-29,2026-04-30,GOOGL,GOOGL,earnings,GOOGL earnings 2026-04-29,Alphabet earnings release with EPS surprise and AI capex read-through,yfinance_earnings_dates,https://finance.yahoo.com/quote/GOOGL/analysis/,true,0.90,cloud_ai_capex,,,,{},2026-05-09
googl_earnings_2026_02_04,2026-02-04,2026-02-05,GOOGL,GOOGL,earnings,GOOGL earnings 2026-02-04,Alphabet earnings release with search cloud and AI investment read-through,yfinance_earnings_dates,https://finance.yahoo.com/quote/GOOGL/analysis/,true,0.85,search_cloud_fcf,,,,{},2026-05-09
googl_earnings_2025_10_29,2025-10-29,2025-10-30,GOOGL,GOOGL,earnings,GOOGL earnings 2025-10-29,Alphabet earnings release with cloud margin and capex implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/GOOGL/analysis/,true,0.85,cloud_margin_capex,,,,{},2026-05-09
googl_earnings_2025_07_23,2025-07-23,2025-07-24,GOOGL,GOOGL,earnings,GOOGL earnings 2025-07-23,Alphabet earnings release with search and cloud growth implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/GOOGL/analysis/,true,0.80,search_cloud_growth,,,,{},2026-05-09
googl_earnings_2025_04_24,2025-04-24,2025-04-25,GOOGL,GOOGL,earnings,GOOGL earnings 2025-04-24,Alphabet earnings release with AI infrastructure capex implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/GOOGL/analysis/,true,0.85,ai_infrastructure_capex,,,,{},2026-05-09
nvda_earnings_2026_02_25,2026-02-25,2026-02-26,NVDA,NVDA,earnings,NVDA earnings 2026-02-25,NVIDIA earnings release with data center demand and gross margin implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/NVDA/analysis/,true,0.95,ai_accelerator_demand,,,,{},2026-05-09
nvda_earnings_2025_11_19,2025-11-19,2025-11-20,NVDA,NVDA,earnings,NVDA earnings 2025-11-19,NVIDIA earnings release with AI platform and supply-chain read-through,yfinance_earnings_dates,https://finance.yahoo.com/quote/NVDA/analysis/,true,0.95,ai_platform_demand,,,,{},2026-05-09
nvda_earnings_2025_08_27,2025-08-27,2025-08-28,NVDA,NVDA,earnings,NVDA earnings 2025-08-27,NVIDIA earnings release with hyperscaler AI accelerator demand implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/NVDA/analysis/,true,0.95,hyperscaler_gpu_demand,,,,{},2026-05-09
nvda_earnings_2025_05_28,2025-05-28,2025-05-29,NVDA,NVDA,earnings,NVDA earnings 2025-05-28,NVIDIA earnings release with guidance and data center reaction,yfinance_earnings_dates,https://finance.yahoo.com/quote/NVDA/analysis/,true,0.95,guidance_data_center,,,,{},2026-05-09
nvda_earnings_2025_02_26,2025-02-26,2025-02-27,NVDA,NVDA,earnings,NVDA earnings 2025-02-26,NVIDIA earnings release with data center growth and margin implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/NVDA/analysis/,true,0.95,data_center_margin,,,,{},2026-05-09
amd_earnings_2026_05_05,2026-05-05,2026-05-06,AMD,AMD,earnings,AMD earnings 2026-05-05,AMD earnings release with data center and MI accelerator implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/AMD/analysis/,true,0.90,mi_accelerator_traction,,,,{},2026-05-09
amd_earnings_2026_02_03,2026-02-03,2026-02-04,AMD,AMD,earnings,AMD earnings 2026-02-03,AMD earnings release with data center and gross margin implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/AMD/analysis/,true,0.90,data_center_margin,,,,{},2026-05-09
amd_earnings_2025_11_04,2025-11-04,2025-11-05,AMD,AMD,earnings,AMD earnings 2025-11-04,AMD earnings release with AI second-source and EPYC implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/AMD/analysis/,true,0.90,second_source_epyc,,,,{},2026-05-09
amd_earnings_2025_08_05,2025-08-05,2025-08-06,AMD,AMD,earnings,AMD earnings 2025-08-05,AMD earnings release with MI accelerator and client cycle implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/AMD/analysis/,true,0.85,mi_client_cycle,,,,{},2026-05-09
amd_earnings_2025_05_06,2025-05-06,2025-05-07,AMD,AMD,earnings,AMD earnings 2025-05-06,AMD earnings release with data center and client recovery implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/AMD/analysis/,true,0.85,data_center_client,,,,{},2026-05-09
tsm_earnings_2026_04_15,2026-04-15,2026-04-16,TSM,TSM,earnings,TSM earnings 2026-04-15,TSMC earnings release with HPC advanced node and capex implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/TSM/analysis/,true,0.90,hpc_advanced_node,,,,{},2026-05-09
tsm_earnings_2026_01_15,2026-01-15,2026-01-15,TSM,TSM,earnings,TSM earnings 2026-01-15,TSMC earnings release with HPC and gross margin implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/TSM/analysis/,false,0.90,hpc_margin,,,,{},2026-05-09
tsm_earnings_2025_10_15,2025-10-15,2025-10-16,TSM,TSM,earnings,TSM earnings 2025-10-15,TSMC earnings release with advanced node demand and AI supply-chain implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/TSM/analysis/,true,0.90,advanced_node_demand,,,,{},2026-05-09
tsm_earnings_2025_07_17,2025-07-17,2025-07-17,TSM,TSM,earnings,TSM earnings 2025-07-17,TSMC earnings release with HPC and smartphone mix implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/TSM/analysis/,false,0.85,hpc_smartphone_mix,,,,{},2026-05-09
tsm_earnings_2025_04_17,2025-04-17,2025-04-17,TSM,TSM,earnings,TSM earnings 2025-04-17,TSMC earnings release with advanced manufacturing and capex implications,yfinance_earnings_dates,https://finance.yahoo.com/quote/TSM/analysis/,false,0.85,advanced_manufacturing_capex,,,,{},2026-05-09
tsmc_monthly_revenue_2026_04,2026-05-08,2026-05-08,TSM,TSM,tsmc_monthly_revenue,TSMC April 2026 monthly revenue,TSMC monthly consolidated revenue release used as AI supply-chain read-through,tsmc_ir_monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,false,0.85,monthly_revenue_ai_supply_chain,,,,{},2026-05-09
tsmc_monthly_revenue_2026_03,2026-04-10,2026-04-10,TSM,TSM,tsmc_monthly_revenue,TSMC March 2026 monthly revenue,TSMC monthly consolidated revenue release used as AI supply-chain read-through,tsmc_ir_monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,false,0.85,monthly_revenue_ai_supply_chain,,,,{},2026-05-09
tsmc_monthly_revenue_2026_02,2026-03-10,2026-03-10,TSM,TSM,tsmc_monthly_revenue,TSMC February 2026 monthly revenue,TSMC monthly consolidated revenue release used as AI supply-chain read-through,tsmc_ir_monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,false,0.80,monthly_revenue_ai_supply_chain,,,,{},2026-05-09
tsmc_monthly_revenue_2026_01,2026-02-10,2026-02-10,TSM,TSM,tsmc_monthly_revenue,TSMC January 2026 monthly revenue,TSMC monthly consolidated revenue release used as AI supply-chain read-through,tsmc_ir_monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2026,false,0.80,monthly_revenue_ai_supply_chain,,,,{},2026-05-09
tsmc_monthly_revenue_2025_12,2026-01-10,2026-01-12,TSM,TSM,tsmc_monthly_revenue,TSMC December 2025 monthly revenue,TSMC monthly consolidated revenue release used as AI supply-chain read-through,tsmc_ir_monthly_revenue,https://investor.tsmc.com/english/monthly-revenue/2025,false,0.80,monthly_revenue_ai_supply_chain,,,,{},2026-05-09
